bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,island_Dream,island_Torgersen,sex_male,year_2008,year_2009
0.22181818181818191,0.8192771084337349,0.30508474576271194,0.35820895522388063,0,0,1,0,1
0.5127272727272727,0.5180722891566263,0.25423728813559343,0.28358208955223885,1,0,0,1,0
0.36363636363636376,0.7108433734939759,0.38983050847457656,0.38805970149253743,0,1,1,1,0
0.2109090909090907,0.6506024096385543,0.3559322033898309,0.06716417910447758,0,0,0,0,1
0.6763636363636365,0.2168674698795181,0.8644067796610173,0.8507462686567165,0,0,1,1,0
0.5163636363636361,0.3132530120481929,0.7288135593220342,0.7014925373134328,0,0,1,0,0
0.72,0.7590361445783134,0.5762711864406782,0.37313432835820903,1,0,1,0,1
0.49090909090909096,0.7469879518072289,0.37288135593220373,0.24626865671641796,1,0,0,0,1
0.4109090909090909,0.14457831325301207,0.7796610169491527,0.5671641791044776,0,0,0,0,1
0.3163636363636362,0.6265060240963853,0.38983050847457656,0.35820895522388063,1,0,1,0,0
0.6363636363636365,0.3373493975903614,0.898305084745763,0.8955223880597015,0,0,1,1,0
0.3781818181818182,0.49397590361445776,0.25423728813559343,0.19402985074626866,1,0,0,0,1
0.6145454545454545,0.7710843373493979,0.6779661016949157,0.4776119402985074,1,0,1,0,1
0.3490909090909091,0.18072289156626486,0.6440677966101696,0.5970149253731344,0,0,0,0,1
0.56,0.09638554216867479,0.6779661016949157,0.6492537313432837,0,0,0,0,1
0.8618181818181816,0.7951807228915664,0.593220338983051,0.38805970149253743,1,0,1,0,1
0.6036363636363637,0.10843373493975905,0.6440677966101696,0.5223880597014926,0,0,0,0,0
0.23272727272727267,0.5662650602409638,0.30508474576271194,0.18656716417910446,0,1,0,0,1
0.56,0.12048192771084332,0.6271186440677967,0.5671641791044776,0,0,0,1,0
0.6000000000000001,0.3373493975903614,0.9830508474576272,0.9253731343283583,0,0,1,1,0
0.7054545454545453,0.6626506024096384,0.25423728813559343,0.16417910447761197,1,0,1,0,1
0.4872727272727273,0.45783132530120474,0.4067796610169494,0.23880597014925364,1,0,0,1,0
0.5927272727272725,0.37349397590361444,0.8135593220338984,0.8059701492537313,0,0,1,1,0
0.40727272727272723,0.09638554216867479,0.6101694915254239,0.5597014925373135,0,0,0,0,1
0.12363636363636354,0.5180722891566263,0.30508474576271194,0.29850746268656725,0,1,0,1,0
0.2581818181818183,0.7710843373493979,0.38983050847457656,0.5895522388059701,0,1,1,0,0
0.40727272727272723,0.024096385542168752,0.6271186440677967,0.5074626865671642,0,0,0,0,0
0.4036363636363638,0.15662650602409633,0.6101694915254239,0.5223880597014926,0,0,0,1,0
0.49818181818181806,0.1686746987951806,0.6440677966101696,0.4477611940298508,0,0,0,0,0
0.6072727272727272,0.36144578313252995,0.8474576271186445,0.9850746268656717,0,0,1,0,1
0.7745454545454544,0.3132530120481929,0.7966101694915255,0.8358208955223881,0,0,1,0,1
0.4763636363636363,0.5542168674698797,0.4406779661016951,0.37313432835820903,1,0,0,0,0
0.6036363636363637,0.22891566265060237,0.8474576271186445,0.7910447761194029,0,0,1,0,0
0.4763636363636363,0.07228915662650603,0.7288135593220342,0.6119402985074628,0,0,0,1,0
0.2472727272727271,0.5542168674698797,0.15254237288135597,0.27611940298507454,0,1,0,0,0
0.3272727272727274,0.6024096385542168,0.33898305084745806,0.4029850746268656,0,0,1,1,0
0.6436363636363636,0.4337349397590362,0.9830508474576272,0.8955223880597015,0,0,1,1,0
0.29454545454545467,0.45783132530120474,0.06779661016949179,0.22388059701492546,0,1,0,0,1
